T_s,Z_max,Z_min,Z_avg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,Part_String,Y_Distance,Part1,Part2,Part3,Part4,Piston_Rod,Gear_Part,Gasket,Pulley
49.14,0.931902,0.88712,0.906061,0.902558,0.910789,0.916134,0.901155,0.910066,0.909453,0.914972,0.899882,0.898974,0.918847,0.913041,0.905883,0.906986,0.905877,0.897838,0.92066,0.8932,0.901252,0.896908,0.900433,0.902913,0.894526,0.907225,0.91059,0.908714,0.893074,0.895069,0.900118,0.902777,0.919381,0.904749,0.895354,0.902192,0.891398,0.901188,0.917888,0.895162,0.909876,0.908741,0.896358,0.894635,0.931902,0.906572,0.921705,0.927117,0.922856,0.921429,0.905736,0.91862,0.898616,0.901653,0.905634,0.901864,0.905826,0.91715,0.896397,0.896232,0.900965,0.908562,0.90681,0.910329,0.920984,0.918732,0.906933,0.899391,0.898772,0.907651,0.895437,0.921757,0.897649,0.88712,0.894429,0.905422,0.90754,0.900562,0.902713,0.893482,0.928698,0.911346,0.902615,0.906401,0.914972,0.900708,0.919971,0.904051,gear_part,0.107985,0,0,0,0,0,0,0,0
49.15,0.931902,0.88712,0.906061,0.902558,0.910789,0.916134,0.901155,0.910066,0.909453,0.914972,0.899882,0.898974,0.918847,0.913041,0.905883,0.906986,0.905877,0.897838,0.92066,0.8932,0.901252,0.896908,0.900433,0.902913,0.894526,0.907225,0.91059,0.908714,0.893074,0.895069,0.900118,0.902777,0.919381,0.904749,0.895354,0.902192,0.891398,0.901188,0.917888,0.895162,0.909876,0.908741,0.896358,0.894635,0.931902,0.906572,0.921705,0.927117,0.922856,0.921429,0.905736,0.91862,0.898616,0.901653,0.905634,0.901864,0.905826,0.91715,0.896397,0.896232,0.900965,0.908562,0.90681,0.910329,0.920984,0.918732,0.906933,0.899391,0.898772,0.907651,0.895437,0.921757,0.897649,0.88712,0.894429,0.905422,0.90754,0.900562,0.902713,0.893482,0.928698,0.911346,0.902615,0.906401,0.914972,0.900708,0.919971,0.904051,gear_part,0.107985,0,0,0,0,0,0,0,0
49.16,0.93111,0.88899,0.906406,0.915175,0.906008,0.907912,0.903618,0.905491,0.915952,0.903692,0.896043,0.916392,0.907917,0.909299,0.91347,0.911514,0.92256,0.895312,0.894185,0.893603,0.894086,0.902962,0.906561,0.90353,0.911215,0.906087,0.913088,0.912958,0.908543,0.904835,0.918463,0.899447,0.918631,0.905278,0.900099,0.912959,0.93111,0.905768,0.914192,0.891218,0.911271,0.892435,0.88899,0.915118,0.906498,0.894162,0.901941,0.902565,0.908596,0.898248,0.913504,0.89823,0.91092,0.90148,0.90155,0.894566,0.902457,0.893959,0.898984,0.906146,0.897119,0.911163,0.922253,0.911093,0.916415,0.911004,0.889516,0.90584,0.914481,0.919614,0.904817,0.916499,0.913994,0.918625,0.899944,0.897554,0.915191,0.905723,0.905959,0.919469,0.900314,0.891947,0.896199,0.898176,0.908634,0.902323,0.896614,0.905009,gear_part,0.107985,0,0,0,0,0,0,0,0
49.17,0.93111,0.88899,0.906406,0.915175,0.906008,0.907912,0.903618,0.905491,0.915952,0.903692,0.896043,0.916392,0.907917,0.909299,0.91347,0.911514,0.92256,0.895312,0.894185,0.893603,0.894086,0.902962,0.906561,0.90353,0.911215,0.906087,0.913088,0.912958,0.908543,0.904835,0.918463,0.899447,0.918631,0.905278,0.900099,0.912959,0.93111,0.905768,0.914192,0.891218,0.911271,0.892435,0.88899,0.915118,0.906498,0.894162,0.901941,0.902565,0.908596,0.898248,0.913504,0.89823,0.91092,0.90148,0.90155,0.894566,0.902457,0.893959,0.898984,0.906146,0.897119,0.911163,0.922253,0.911093,0.916415,0.911004,0.889516,0.90584,0.914481,0.919614,0.904817,0.916499,0.913994,0.918625,0.899944,0.897554,0.915191,0.905723,0.905959,0.919469,0.900314,0.891947,0.896199,0.898176,0.908634,0.902323,0.896614,0.905009,gear_part,0.107985,0,0,0,0,0,0,0,0
49.18,0.92898,0.886566,0.905588,0.896244,0.915608,0.905335,0.907584,0.908231,0.911373,0.892504,0.913009,0.917494,0.91848,0.899969,0.908196,0.905146,0.906116,0.904606,0.89461,0.914332,0.910159,0.907995,0.905762,0.904094,0.906735,0.897093,0.920256,0.915256,0.906567,0.918119,0.903233,0.907151,0.899183,0.896142,0.888432,0.903969,0.89187,0.906717,0.904589,0.901609,0.917696,0.921045,0.898885,0.907196,0.914009,0.89471,0.899017,0.899846,0.903616,0.921231,0.887969,0.902429,0.892014,0.89682,0.917159,0.904216,0.886566,0.92202,0.911113,0.905513,0.905541,0.898042,0.908049,0.903058,0.899775,0.898961,0.893258,0.89618,0.912879,0.922635,0.911563,0.899936,0.897005,0.913033,0.912968,0.904834,0.918696,0.928934,0.92898,0.902936,0.910906,0.898375,0.898333,0.90897,0.901566,0.8919,0.905202,0.903105,gear_part,0.107985,0,0,0,0,0,0,0,0
49.19,0.92898,0.886566,0.905588,0.896244,0.915608,0.905335,0.907584,0.908231,0.911373,0.892504,0.913009,0.917494,0.91848,0.899969,0.908196,0.905146,0.906116,0.904606,0.89461,0.914332,0.910159,0.907995,0.905762,0.904094,0.906735,0.897093,0.920256,0.915256,0.906567,0.918119,0.903233,0.907151,0.899183,0.896142,0.888432,0.903969,0.89187,0.906717,0.904589,0.901609,0.917696,0.921045,0.898885,0.907196,0.914009,0.89471,0.899017,0.899846,0.903616,0.921231,0.887969,0.902429,0.892014,0.89682,0.917159,0.904216,0.886566,0.92202,0.911113,0.905513,0.905541,0.898042,0.908049,0.903058,0.899775,0.898961,0.893258,0.89618,0.912879,0.922635,0.911563,0.899936,0.897005,0.913033,0.912968,0.904834,0.918696,0.928934,0.92898,0.902936,0.910906,0.898375,0.898333,0.90897,0.901566,0.8919,0.905202,0.903105,gear_part,0.107985,0,0,0,0,0,0,0,0
49.21,0.930807,0.888454,0.906839,0.923146,0.89807,0.904277,0.894172,0.907156,0.899857,0.916314,0.923866,0.91179,0.919341,0.909348,0.905868,0.91052,0.892101,0.910798,0.91212,0.921316,0.897963,0.91507,0.909708,0.893035,0.926978,0.914297,0.894217,0.896993,0.888623,0.922944,0.904644,0.914878,0.903886,0.904413,0.896824,0.923283,0.896133,0.906149,0.906269,0.902633,0.906311,0.915219,0.923411,0.915754,0.899405,0.914876,0.909718,0.90845,0.890911,0.92324,0.907533,0.903543,0.892443,0.920931,0.902878,0.893661,0.896673,0.903862,0.894822,0.903255,0.911377,0.888454,0.900327,0.898064,0.905514,0.907906,0.914578,0.895133,0.902569,0.895329,0.929065,0.897949,0.914662,0.892617,0.893806,0.910504,0.902402,0.904503,0.919067,0.903002,0.900392,0.909978,0.911439,0.902878,0.909311,0.902654,0.91836,0.920716,gear_part,0.107985,0,0,0,0,0,0,0,0
49.21,0.930807,0.888454,0.906839,0.923146,0.89807,0.904277,0.894172,0.907156,0.899857,0.916314,0.923866,0.91179,0.919341,0.909348,0.905868,0.91052,0.892101,0.910798,0.91212,0.921316,0.897963,0.91507,0.909708,0.893035,0.926978,0.914297,0.894217,0.896993,0.888623,0.922944,0.904644,0.914878,0.903886,0.904413,0.896824,0.923283,0.896133,0.906149,0.906269,0.902633,0.906311,0.915219,0.923411,0.915754,0.899405,0.914876,0.909718,0.90845,0.890911,0.92324,0.907533,0.903543,0.892443,0.920931,0.902878,0.893661,0.896673,0.903862,0.894822,0.903255,0.911377,0.888454,0.900327,0.898064,0.905514,0.907906,0.914578,0.895133,0.902569,0.895329,0.929065,0.897949,0.914662,0.892617,0.893806,0.910504,0.902402,0.904503,0.919067,0.903002,0.900392,0.909978,0.911439,0.902878,0.909311,0.902654,0.91836,0.920716,gear_part,0.107985,0,0,0,0,0,0,0,0
49.22,0.930807,0.888454,0.906839,0.923146,0.89807,0.904277,0.894172,0.907156,0.899857,0.916314,0.923866,0.91179,0.919341,0.909348,0.905868,0.91052,0.892101,0.910798,0.91212,0.921316,0.897963,0.91507,0.909708,0.893035,0.926978,0.914297,0.894217,0.896993,0.888623,0.922944,0.904644,0.914878,0.903886,0.904413,0.896824,0.923283,0.896133,0.906149,0.906269,0.902633,0.906311,0.915219,0.923411,0.915754,0.899405,0.914876,0.909718,0.90845,0.890911,0.92324,0.907533,0.903543,0.892443,0.920931,0.902878,0.893661,0.896673,0.903862,0.894822,0.903255,0.911377,0.888454,0.900327,0.898064,0.905514,0.907906,0.914578,0.895133,0.902569,0.895329,0.929065,0.897949,0.914662,0.892617,0.893806,0.910504,0.902402,0.904503,0.919067,0.903002,0.900392,0.909978,0.911439,0.902878,0.909311,0.902654,0.91836,0.920716,gear_part,0.107985,0,0,0,0,0,0,0,0
49.23,0.923138,0.887299,0.904095,0.912719,0.912886,0.900458,0.899641,0.89405,0.898194,0.910422,0.918706,0.906029,0.902904,0.89818,0.923138,0.920346,0.911615,0.912786,0.906941,0.899451,0.897346,0.88968,0.902266,0.890695,0.900435,0.898844,0.913351,0.900094,0.901214,0.894912,0.9038,0.904441,0.898011,0.90744,0.902382,0.900112,0.895291,0.900259,0.890293,0.913151,0.908492,0.910715,0.887299,0.913582,0.904716,0.910675,0.8967,0.907505,0.905172,0.900876,0.912448,0.893314,0.906137,0.918859,0.908888,0.917291,0.888774,0.900605,0.89633,0.89843,0.892181,0.902781,0.917129,0.908088,0.904348,0.904177,0.903762,0.902928,0.901781,0.905429,0.895789,0.907525,0.893278,0.901732,0.903117,0.898941,0.89385,0.899987,0.905404,0.912466,0.908533,0.899437,0.91258,0.91082,0.910353,0.897616,0.909223,0.901612,gear_part,0.124595,0,0,0,0,0,0,0,0
