T_s,Z_max,Z_min,Z_avg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,Part_String,Y_Distance,Part1,Part2,Part3,Part4,Piston_Rod,Gear_Part,Gasket,Pulley
176.815,0.931411,0.88758,0.905953,0,0,0,0,0,0,0,0,0,0,5.96046e-08,5.96046e-08,0,5.96046e-08,0,0,5.96046e-08,0,0,0,0,0,5.96046e-08,0,0,0,5.96046e-08,0,0,0,0,0,5.96046e-08,0,0,0,5.96046e-08,0,5.96046e-08,0,0,5.96046e-08,0,0,0,0,0,5.96046e-08,0,0,0,0,0,5.96046e-08,0,0,5.96046e-08,0,0,5.96046e-08,5.96046e-08,0,0,0,0,0,5.96046e-08,0,0,0,5.96046e-08,0,0,0,5.96046e-08,0,5.96046e-08,0,0,0,5.96046e-08,0,5.96046e-08,0,0,gear_part,0.0490996,0,0,0,0,0,0,0,0
176.825,0.931411,0.88758,0.905953,0,0,0,0,0,0,0,0,0,0,5.96046e-08,5.96046e-08,0,5.96046e-08,0,0,5.96046e-08,0,0,0,0,0,5.96046e-08,0,0,0,5.96046e-08,0,0,0,0,0,5.96046e-08,0,0,0,5.96046e-08,0,5.96046e-08,0,0,5.96046e-08,0,0,0,0,0,5.96046e-08,0,0,0,0,0,5.96046e-08,0,0,5.96046e-08,0,0,5.96046e-08,5.96046e-08,0,0,0,0,0,5.96046e-08,0,0,0,5.96046e-08,0,0,0,5.96046e-08,0,5.96046e-08,0,0,0,5.96046e-08,0,5.96046e-08,0,0,gear_part,0.0641996,0,0,0,0,0,0,0,0
176.835,0.92544,0.887956,0.903847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.96046e-08,5.96046e-08,5.96046e-08,5.96046e-08,5.96046e-08,0,0,0,0,0,0,5.96046e-08,0,5.96046e-08,0,0,0,5.96046e-08,0,0,0,5.96046e-08,5.96046e-08,5.96046e-08,0,0,0,0,0,5.96046e-08,0,0,5.96046e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,5.96046e-08,0,0,0,0,5.96046e-08,5.96046e-08,0,0,5.96046e-08,0,5.96046e-08,0,5.96046e-08,0,0,0,5.96046e-08,0,5.96046e-08,0,0,0,0,5.96046e-08,gear_part,0.0641996,0,0,0,0,0,0,0,0
176.845,0.924614,0.888709,0.905233,0,5.96046e-08,5.96046e-08,0,0,5.96046e-08,0,0,5.96046e-08,5.96046e-08,0,0,0,5.96046e-08,0,5.96046e-08,0,0,0,0,5.96046e-08,5.96046e-08,5.96046e-08,0,0,0,0,0,5.96046e-08,0,0,0,0,0,5.96046e-08,0,0,0,0,0,0,0,0,0,0,0,0,5.96046e-08,5.96046e-08,5.96046e-08,0,0,0,5.96046e-08,0,0,0,0,5.96046e-08,0,0,0,0,0,5.96046e-08,0,0,5.96046e-08,0,0,0,0,0,5.96046e-08,5.96046e-08,0,0,5.96046e-08,0,0,5.96046e-08,0,5.96046e-08,0,0,gear_part,0.0641996,0,0,0,0,0,0,0,0
176.855,0.924614,0.888709,0.905233,0,5.96046e-08,5.96046e-08,0,0,5.96046e-08,0,0,5.96046e-08,5.96046e-08,0,0,0,5.96046e-08,0,5.96046e-08,0,0,0,0,5.96046e-08,5.96046e-08,5.96046e-08,0,0,0,0,0,5.96046e-08,0,0,0,0,0,5.96046e-08,0,0,0,0,0,0,0,0,0,0,0,0,5.96046e-08,5.96046e-08,5.96046e-08,0,0,0,5.96046e-08,0,0,0,0,5.96046e-08,0,0,0,0,0,5.96046e-08,0,0,5.96046e-08,0,0,0,0,0,5.96046e-08,5.96046e-08,0,0,5.96046e-08,0,0,5.96046e-08,0,5.96046e-08,0,0,gear_part,0.0641996,0,0,0,0,0,0,0,0
176.865,0.931037,0.886524,0.905502,0,5.96046e-08,0,5.96046e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.96046e-08,0,0,0,0,0,0,0,0,0,5.96046e-08,5.96046e-08,0,5.96046e-08,0,5.96046e-08,5.96046e-08,0,0,0,0,0,0,0,0,0,0,0,5.96046e-08,0,0,0,5.96046e-08,0,0,5.96046e-08,5.96046e-08,0,0,0,0,0,5.96046e-08,5.96046e-08,0,0,0,0,0,0,0,5.96046e-08,0,5.96046e-08,5.96046e-08,0,0,0,0,0,0,0,0,5.96046e-08,5.96046e-08,0,0,gear_part,0.0641996,0,0,0,0,0,0,0,0
176.875,0.931037,0.886524,0.905502,0,5.96046e-08,0,5.96046e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.96046e-08,0,0,0,0,0,0,0,0,0,5.96046e-08,5.96046e-08,0,5.96046e-08,0,5.96046e-08,5.96046e-08,0,0,0,0,0,0,0,0,0,0,0,5.96046e-08,0,0,0,5.96046e-08,0,0,5.96046e-08,5.96046e-08,0,0,0,0,0,5.96046e-08,5.96046e-08,0,0,0,0,0,0,0,5.96046e-08,0,5.96046e-08,5.96046e-08,0,0,0,0,0,0,0,0,5.96046e-08,5.96046e-08,0,0,gear_part,0.0641996,0,0,0,0,0,0,0,0
176.885,0.931037,0.886524,0.905502,0,5.96046e-08,0,5.96046e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.96046e-08,0,0,0,0,0,0,0,0,0,5.96046e-08,5.96046e-08,0,5.96046e-08,0,5.96046e-08,5.96046e-08,0,0,0,0,0,0,0,0,0,0,0,5.96046e-08,0,0,0,5.96046e-08,0,0,5.96046e-08,5.96046e-08,0,0,0,0,0,5.96046e-08,5.96046e-08,0,0,0,0,0,0,0,5.96046e-08,0,5.96046e-08,5.96046e-08,0,0,0,0,0,0,0,0,5.96046e-08,5.96046e-08,0,0,gear_part,0.0641996,0,0,0,0,0,0,0,0
176.9,0.932153,0.887468,0.905508,5.96046e-08,5.96046e-08,0,0,0,5.96046e-08,0,0,5.96046e-08,0,0,5.96046e-08,5.96046e-08,5.96046e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,5.96046e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.96046e-08,0,0,0,0,0,0,0,0,0,5.96046e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,5.96046e-08,0,0,0,0,0,0,0,0,0,0,5.96046e-08,0,0,5.96046e-08,0,0,0,5.96046e-08,gear_part,0.0641996,0,0,0,0,0,0,0,0
176.905,0.927187,0.887032,0.905914,0,5.96046e-08,0,0,0,0,5.96046e-08,5.96046e-08,0,0,0,0,0,5.96046e-08,5.96046e-08,0,5.96046e-08,0,0,0,5.96046e-08,0,0,5.96046e-08,0,0,0,5.96046e-08,5.96046e-08,0,0,0,0,0,0,5.96046e-08,5.96046e-08,0,5.96046e-08,5.96046e-08,0,5.96046e-08,5.96046e-08,5.96046e-08,5.96046e-08,0,0,5.96046e-08,0,5.96046e-08,5.96046e-08,0,0,5.96046e-08,0,0,0,0,5.96046e-08,5.96046e-08,0,5.96046e-08,0,0,0,0,0,0,0,5.96046e-08,5.96046e-08,0,0,0,0,0,0,0,0,0,5.96046e-08,0,5.96046e-08,0,0,gear_part,0.0641996,0,0,0,0,0,0,0,0
